No. ,Molecule name,ET1,"ET1,A_L_new","ET1,D_new","ET1,A_R_new"
84,MeIC1,1.2674,1.9373,-2.8384,1.9373
85,MO-IDIC-2F-1V4,1.2674,2.0396,-2.8304,2.0421
86,IDTTIC,1.2667,2.0526,-2.8588,2.0526
87,sp-mOEh-ITIC,1.2667,2.0526,-2.8181,2.0526
88,Y6-C2,1.2667,2.0476,-2.8657,2.0476
89,drect-ITIC,1.2663,2.0526,-2.842,2.0526
90,IT-OH,1.2662,2.0526,-2.8305,2.003
91,IDT6CN,1.2645,1.9717,-2.8306,1.9717
92,m-ITIC-4F,1.2643,2.0476,-2.8312,2.0476
93,ITCT-DM,1.264,1.9345,-2.8305,1.9345
94,ITIC6-4F,1.264,2.0476,-2.8313,2.0476
95,ITIC-4F,1.2638,2.0476,-2.8305,2.0476
96,ITIC-2Cl-2V5,1.2636,2.0471,-2.8305,2.0471
97,ITIC-2Br-2V5,1.2631,2.0468,-2.8305,2.0468
98,eC9-2Cl-1V4,1.263,2.0462,-2.8167,2.0462
99,ITIC-Th2F-1V4,1.2629,2.0421,-2.8211,2.0421
100,POIT-M-1V4,1.2623,2.0549,-2.8473,2.0549
101,POIT-IC2F-2V5,1.2617,2.0553,-2.8473,2.0553
102,ITIC2,1.2611,2.0526,-2.8431,2.0526
103,mF-ITIC,1.2601,2.0526,-2.8451,2.0526
104,IT-DOH,1.2586,2.0871,-2.8305,2.0871
105,ITIC-3F-1,1.2585,2.0421,-2.8305,2.0476
106,C8-IT-4F,1.2585,2.0476,-2.8311,2.0476
107,pO-ITIC,1.2579,2.0526,-2.8473,2.0526
108,IDMIC-4F,1.2577,2.0476,-2.8307,2.0476
109,SeTIC,1.2576,2.0526,-2.8737,2.0526
110,drect-ITIC-4F,1.2563,2.0476,-2.842,2.0476
111,BTP-4Cl,1.2561,2.0364,-2.8207,2.0364
112,a-ITIC-2Cl,1.2549,2.0526,-2.8305,2.0364
113,ITIC-Cl-2-Th,1.2546,2.0471,-2.8305,1.9717
114,INIC3,1.254,2.0476,-2.8364,2.0476
115,m-ITIC-2F-1V4,1.2539,2.0421,-2.8312,2.0421
116,ITIC-2F-1V4,1.2536,2.0421,-2.8305,2.0421
117,MEIC,1.2533,1.9337,-2.8305,1.9337
118,sp-mOEh-ITIC-4F,1.2531,2.0476,-2.8181,2.0476
119,ITIC-2Br-1V4,1.2529,2.0417,-2.8305,2.0417
120,ITCF3-1V4,1.2528,2.0386,-2.8305,2.0386
121,IOM-4F,1.2526,2.0476,-2.8417,2.0476
122,ITIC6-2F-1V4,1.2522,2.0421,-2.8313,2.0421
123,ITIC-2Cl-1V4,1.2521,2.0413,-2.8305,2.0413
124,ITIC-Cl-1-Th,1.2491,2.0413,-2.8305,1.9717
125,N3-4Cl,1.2486,2.0364,-2.8657,2.0364
126,ITCPTC,1.2464,1.9717,-2.8305,1.9717
127,SeTIC4Cl,1.2463,2.065,-2.8737,2.0364
128,INIC2-1V4,1.2462,2.0421,-2.8364,2.0421
129,POIT-IC4F,1.2451,2.0476,-2.8473,2.0476
130,INIC1,1.2451,2.0987,-2.8364,2.0987
131,ITIC-2Cl-3V6,1.2447,2.0376,-2.8305,2.0376
132,ITIC-4Cl,1.2438,2.0364,-2.8305,2.0364
133,ITIC-2Cl-1V2-Th,1.2438,2.0286,-2.8305,1.982
134,IT-4Cl-C8,1.2433,2.0364,-2.8311,2.0364
135,IT-4Cl-C10,1.2431,2.0364,-2.8312,2.0364
136,IM-4F,1.2427,2.0476,-2.8178,2.0476
137,ITCF3-2V5,1.2393,2.0196,-2.8305,2.0196
138,ITIC-6F,1.2387,2.0346,-2.8305,2.0346
139,ITN-C9,1.2366,1.9335,-2.8309,1.9335
140,m-ITIC-OR-4Cl,1.2365,2.0364,-2.837,2.0364
141,POIT-IC2F-1V4,1.2355,2.0421,-2.8473,2.0421
142,sp-mOEh-ITIC-4Cl,1.2321,2.0364,-2.8181,2.0364
143,BDCPDT-TTC,1.2285,2.0775,-2.9239,2.0775
144,ITC-2Br2,1.2279,1.936,-2.8305,1.936
145,ITN-F4,1.2253,1.9598,-2.8309,1.9598
146,ITC2Cl,1.2247,1.9295,-2.8305,1.9295
147,SiOTIC,1.2231,2.0526,-2.8607,2.0526
148,INPIC,1.2189,2.0526,-2.8322,2.0526
149,BDCPDT-BC,1.2176,2.0737,-2.9239,2.0737
150,ITThBC,1.1969,1.982,-2.8211,1.982
151,NFBDT-Me-2V5,1.1959,2.06,-2.9239,2.06
152,NFBDT-F-2V5,1.1879,2.0553,-2.9239,2.0553
153,NFBDT-Me-1V4,1.1875,2.0549,-2.9239,2.0549
154,NFBDT,1.1841,2.0526,-2.9239,2.0526
155,BDCPDT-FIC,1.1735,2.0476,-2.9239,2.0476
156,NCBDT-2v5,1.173,2.0553,-2.8817,2.0553
157,NOIC1,1.1656,2.0476,-2.9172,2.0476
158,NFBDT-F-1V4,1.165,2.0421,-2.9239,2.0421
159,NCBDT-1v4,1.1499,2.0421,-2.8817,2.0421
160,NNBDT,1.1403,1.9335,-2.8817,1.9335
161,6TBA,1.1347,2.303,-3.0526,2.303
162,FNIC2,1.1301,2.0476,-2.9015,2.0476
163,IOIC2,1.0961,2.0476,-3.0404,2.0476
164,COi8DFIC,1.0771,2.0476,-3.1896,2.0476
165,4TIC,1.073,2.0526,-3.0322,2.0526
166,4TIC-4F,1.0656,2.0476,-3.0322,2.0476
167,FOIC-2V5,1.0495,2.0553,-3.0526,2.0553
168,IOIC3,1.0392,2.0476,-3.1966,2.0476
169,F8IC,1.0369,2.0476,-3.0526,2.0476
