No.,Acceptor,ET1,new-AL,new-AR,new-D
42,IT-M-2V5,1.2892,2.06,2.06,-2.8305
20,a-IT-2OM,1.289,2.0657,2.0526,-2.8305
76,ITIC-Th2F-2V5,1.289,2.0553,2.0553,-2.8211
161,NOIC4,1.2885,2.04761,2.04761,-2.8185
151,MO-IDIC,1.2879,2.0526,2.0526,-2.8304
140,IDTCN,1.2875,2.0385,2.0385,-2.7884
165,IDT8CN-M-2V5,1.2867,2.06,2.06,-2.8326
18,ITCF,1.2853,2.05756,2.05756,-2.8305
29,ITIC-Th,1.2842,2.0526,2.0526,-2.8211
119,IDIC-2F-1V4,1.284,2.0421,2.0421,-2.8002
56,MOIT-M-2V5,1.2833,2.06,2.06,-2.837
74,IDTT-OB-2V5,1.2832,2.06,2.06,-2.8373
90,sp-mOEh-ITIC-M-2V5,1.2815,2.06,2.06,-2.8181
38,FpO-ITIC,1.2807,2.0526,2.0526,-2.8251
4,ITIC-2F-2V5,1.2797,2.0553,2.0553,-2.8305
58,m-ITIC-2F-2V5,1.2796,2.0553,2.0553,-2.8312
63,ITIC6-2F-2V5,1.2795,2.0553,2.0553,-2.8313
41,IT-M-1V4,1.2791,2.0549,2.0549,-2.8305
31,ITIC-OE,1.2788,2.0526,2.0526,-2.8264
159,NOIC2,1.2788,2.04761,2.04761,-2.8373
37,m-ITIC-O-EH,1.2786,2.0526,2.0526,-2.8266
176,ZITI-1V4,1.2784,2.04214,2.04214,-2.8304
131,IDT6CN-Th,1.2778,2.0385,2.0385,-2.7845
164,IDT8CN-M-1V4,1.277,2.05485,2.05485,-2.8326
166,FINIC,1.2768,2.04761,2.04761,-2.8401
150,eC9-2Cl-2V5,1.2762,2.07965,2.07965,-2.8167
23,ITEN-2V5,1.2748,1.95575,1.95575,-2.8305
1,ITIC,1.2747,2.0526,2.0526,-2.8305
127,Y6,1.2745,2.04761,2.04761,-2.8207
80,ITzN-F4,1.2742,2.06255,2.06255,-2.8309
36,m-ITIC,1.2741,2.0526,2.0526,-2.8312
73,IDTT-OB-1V4,1.2731,2.0549,2.0549,-2.8373
33,ITIC6-IC,1.273,2.0526,2.0526,-2.8313
55,MOIT-M-1V4,1.2729,2.0549,2.0549,-2.837
72,POIT-M-2V5,1.2721,2.06,2.06,-2.8473
84,drect-ITIC-2F-2V5,1.2715,2.0553,2.0553,-2.842
109,INIC2-2V5,1.2712,2.05531,2.05531,-2.8364
89,sp-mOEh-ITIC-M-1V4,1.2711,2.0549,2.0549,-2.8181
7,ITIC-3F-2,1.271,2.0553,2.0476,-2.8305
125,¿‡À∆ITIC-S,1.2703,2.0526,2.0526,-2.8376
28,C8-ITIC,1.269,2.0526,2.0526,-2.8311
106,INIC,1.2688,2.0526,2.0526,-2.8364
35,mO-ITIC,1.2682,2.0526,2.0526,-2.837
22,ITEN-1V4,1.268,2.0487,2.0487,-2.8305
138,MO-IDIC-Cl-2 ,1.268,2.0413,2.0413,-2.8304
2,a-ITIC-2F,1.2679,2.0526,2.0476,-2.8305
32,ITIC-OEG,1.2677,2.0526,2.0526,-2.8375
117,MeIC1,1.2674,1.8825,1.8825,-2.8384
152,MO-IDIC-2F-1V4,1.2674,2.04214,2.04214,-2.8085
27,IDTTIC,1.2667,2.0526,2.0526,-2.8368
30,sp-mOEh-ITIC,1.2667,2.0526,2.0526,-2.8181
129,Y6-C2,1.2667,2.04761,2.04761,-2.8657
105,drect-ITIC,1.2663,2.0526,2.0526,-2.842
21,IT-OH,1.2662,2.0364,2.0396,-2.8305
154,IDT6CN,1.2645,2.0385,2.0385,-2.8306
59,m-ITIC-4F,1.2643,2.0476,2.0476,-2.8312
44,ITCT-DM,1.264,2.00205,2.00205,-2.8305
64,ITIC6-4F,1.264,2.04761,2.04761,-2.8313
5,ITIC-4F,1.2638,2.0476,2.0476,-2.8305
9,ITIC-2Cl-2V5,1.2636,2.0471,2.0471,-2.8305
13,ITIC-2Br-2V5,1.2631,2.0468,2.0468,-2.8305
149,eC9-2Cl-1V4,1.263,2.0462,2.0462,-2.8167
75,ITIC-Th2F-1V4,1.2629,2.0421,2.0421,-2.8211
71,POIT-M-1V4,1.2623,2.0549,2.0549,-2.8473
54,POIT-IC2F-2V5,1.2617,2.0553,2.0553,-2.8473
124,¿‡À∆ITIC2,1.2611,2.0526,2.0526,-2.8415
40,mF-ITIC,1.2601,2.0526,2.0526,-2.8451
17,IT-DOH,1.2586,2.0364,2.0364,-2.8305
6,ITIC-3F-1,1.2585,2.0421,2.0476,-2.8305
83,C8-IT-4F,1.2585,2.0476,2.0476,-2.8311
34,pO-ITIC,1.2579,2.0526,2.0526,-2.8473
68,IDMIC-4F,1.2577,2.04761,2.04761,-2.8307
116,SeTIC,1.2576,2.0526,2.0526,-2.8737
112,drect-ITIC-4F,1.2563,2.0476,2.0476,-2.842
128,BTP-4Cl,1.2561,2.0364,2.0364,-2.8207
19,a-ITIC-2Cl,1.2549,2.0364,2.0526,-2.8305
66,ITIC-Cl-2-Th,1.2546,2.04705,2.0385,-2.8305
110,INIC3,1.254,2.04579,2.04579,-2.8364
57,m-ITIC-2F-1V4,1.2539,2.0421,2.0421,-2.8312
3,ITIC-2F-1V4,1.2536,2.0421,2.0421,-2.8305
25,MEIC,1.2533,2.0005,2.0005,-2.8305
87,sp-mOEh-ITIC-4F,1.2531,2.0476,2.0476,-2.8181
12,ITIC-2Br-1V4,1.2529,2.0417,2.0417,-2.8305
15,ITCF3-1V4,1.2528,2.0386,2.0386,-2.8305
86,IOM-4F,1.2526,2.0476,2.0476,-2.8417
62,ITIC6-2F-1V4,1.2522,2.0421,2.0421,-2.8313
8,ITIC-2Cl-1V4,1.2521,2.0413,2.0413,-2.8305
65,ITIC-Cl-1-Th,1.2491,2.0413,2.0385,-2.8305
130,N3-4Cl,1.2486,2.0364,2.0364,-2.8657
24,ITCPTC,1.2464,2.0385,2.0385,-2.8305
126,SeTIC4Cl,1.2463,2.0364,2.0364,-2.8737
108,INIC2-1V4,1.2462,2.04214,2.04214,-2.8364
70,POIT-IC4F,1.2451,2.0476,2.0476,-2.8473
107,INIC1,1.2451,2.04075,2.04075,-2.8364
10,ITIC-2Cl-3V6,1.2447,2.0376,2.0376,-2.8305
11,ITIC-4Cl,1.2438,2.0364,2.0364,-2.8305
67,ITIC-2Cl-1V2-Th,1.2438,2.0515,2.0385,-2.8305
60,IT-4Cl-C8,1.2433,2.0364,2.0364,-2.8311
61,IT-4Cl-C10,1.2431,2.0364,2.0364,-2.8312
85,IM-4F,1.2427,2.0476,2.0476,-2.8516
16,ITCF3-2V5,1.2393,2.04055,2.04055,-2.8305
82,ITIC-6F,1.2387,2.0346,2.0346,-2.8305
79,ITN-C9,1.2366,2.018,2.018,-2.8309
69,m-ITIC-OR-4Cl,1.2365,2.0364,2.0364,-2.837
53,POIT-IC2F-1V4,1.2355,2.0421,2.0421,-2.8473
88,sp-mOEh-ITIC-4Cl,1.2321,2.0364,2.0364,-2.8181
145,BDCPDT-TTC,1.2285,2.0775,2.0775,-2.9239
43,ITC-2Br2,1.2279,1.99715,1.99715,-2.8305
81,ITN-F4,1.2253,2.0434,2.0434,-2.8309
26,ITC2Cl,1.2247,2.0019,2.0019,-2.8305
139,SiOTIC,1.2231,2.0526,2.0526,-2.8607
167,INPIC,1.2189,2.0526,2.0526,-2.8322
113,BDCPDT-BC,1.2176,2.0737,2.0737,-2.9239
77,ITThBC,1.1969,1.982,1.982,-2.8405
102,NFBDT-Me-2V5,1.1959,2.06,2.06,-2.9239
104,NFBDT-F-2V5,1.1879,2.0553,2.0553,-2.9239
101,NFBDT-Me-1V4,1.1875,2.0549,2.0549,-2.9239
100,NFBDT,1.1841,2.0526,2.0526,-2.9239
144,BDCPDT-FIC,1.1735,2.0476,2.0476,-2.9239
147,NCBDT-2v5,1.173,2.05531,2.05531,-2.9155
158,NOIC1,1.1656,2.04761,2.04761,-2.9172
103,NFBDT-F-1V4,1.165,2.0421,2.0421,-2.9239
146,NCBDT-1v4,1.1499,2.04214,2.04214,-2.9155
148,NNBDT,1.1403,2.0338,2.0338,-3.0328
141,6TBA,1.1347,2.303,2.303,-3.0523
156,FNIC2,1.1301,2.04761,2.04761,-2.9353
99,IOIC2,1.0961,2.04761,2.04761,-3.0404
177,COi8DFIC,1.0771,2.04761,2.04761,-3.1896
142,4TIC,1.073,2.0526,2.0526,-3.0322
143,4TIC-4F,1.0656,2.04761,2.04761,-3.0322
174,FOIC-2V5,1.0495,2.05531,2.05531,-3.0523
111,IOIC3,1.0392,2.04761,2.04761,-3.1966
175,F8IC,1.0369,2.04761,2.04761,-3.0523
